date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:12:14	94241/94241	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:10%20GMT	https://startours.co.uk/tour/London-Package	D:/demo/startours.co.uk/tour/London-Package.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:14	354935/354935	---M--	200	added ('OK')	image/png	etag:%229f6c227131da1:0%22	https://startours.co.uk/Content/Images/Destinations/AdobeStock_108482727_345x410_1.png	D:/demo/startours.co.uk/Content/Images/Destinations/AdobeStock_108482727_345x410_1.png	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:15	284247/284247	---M--	200	added ('OK')	image/jpeg	etag:%22898cc19430da1:0%22	https://startours.co.uk/Content/Images/Slides/dreamstime_xl_34006495_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Slides/dreamstime_xl_34006495_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:16	102864/102864	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:11%20GMT	https://startours.co.uk/tour/03-Days-Paris-City-Break	D:/demo/startours.co.uk/tour/03-Days-Paris-City-Break.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:16	273652/273652	---M--	200	added ('OK')	image/jpeg	etag:%22c2213489121da1:0%22	https://startours.co.uk/Content/Images/Slides/dreamstime_xl_144592449_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Slides/dreamstime_xl_144592449_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:16	329690/329690	---M--	200	added ('OK')	image/png	etag:%22bef44e758ae4d91:0%22	https://startours.co.uk/Content/Images/Destinations/AdobeStock_414788353_Editorial_Use_Only.png	D:/demo/startours.co.uk/Content/Images/Destinations/AdobeStock_414788353_Editorial_Use_Only.png	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:17	347019/347019	---M--	200	added ('OK')	image/jpeg	etag:%22213813f2111da1:0%22	https://startours.co.uk/Content/Images/Destinations/dreamstime_xl_40362552_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/dreamstime_xl_40362552_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:19	378849/378849	---M--	200	added ('OK')	image/png	etag:%22c84d63aa982da1:0%22	https://startours.co.uk/Content/Images/Destinations/AdobeStock_328997695_345x410_1.png	D:/demo/startours.co.uk/Content/Images/Destinations/AdobeStock_328997695_345x410_1.png	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:19	321017/321017	---M--	200	added ('OK')	image/jpeg	etag:%22c3aeb1a32eda1:0%22	https://startours.co.uk/Content/Images/Slides/dreamstime_l_88501975_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Slides/dreamstime_l_88501975_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:20	108430/108430	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:15%20GMT	https://startours.co.uk/tour/04-Days-Serene-Europe	D:/demo/startours.co.uk/tour/04-Days-Serene-Europe.html	(from https://startours.co.uk/holidays/Coach-Holidays)
